scientific name,common names,hymenium type,cap shape,gill type,stipe type,spore color,ecological type,edible,URL
panaeolus africanus,none,gills,convex,"adnexed, adnate",bare,black,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Panaeolus_africanus
panaeolus antillarum,none,gills,convex,adnexed,bare,black,saprotrophic,edible,https://en.wikipedia.org/wiki/Panaeolus_antillarum
panaeolus bisporus,copelandia bisporus,gills,convex,adnexed,bare,black,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Panaeolus_bisporus
panaeolus cambodginiensis,none,gills,convex,adnexed,bare,black,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Panaeolus_cambodginiensis
panaeolus olivaceus,none,gills,"campanulate, convex","adnexed, adnate",bare,black,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Panaeolus_olivaceus
panaeolus fimicola,none,gills,convex,adnexed,bare,black,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Panaeolus_fimicola
pluteus salicinus,none,gills,"convex, flat",free,bare,pink,saprotrophic,"psychoactive, edible",https://en.wikipedia.org/wiki/Pluteus_salicinus
amanita brunnescens,"brown american star-footed amanita,cleft-footed amanita",gills,convex,free,"ring,volva",white,mycorrhizal,unknown,https://en.wikipedia.org/wiki/Amanita_brunnescens
agaricus augustus,the prince,gills,convex,free,ring,brown,saprotrophic,choice,https://en.wikipedia.org/wiki/Agaricus_augustus
neolentinus ponderosus,"giant sawgill,ponderous lentinus",gills,"convex, depressed",decurrent,bare,white,saprotrophic,choice,https://en.wikipedia.org/wiki/Neolentinus_ponderosus
agaricus bitorquis,"torq,banded agaric,spring agaric,banded agaricus,urban agaricus,pavement mushroom",gills,"convex, flat",free,ring,brown,saprotrophic,choice,https://en.wikipedia.org/wiki/Agaricus_bitorquis
psilocybe ovoideocystidiata,none,gills,"convex, umbonate",adnate,ring,"blackish-brown, purple",saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_ovoideocystidiata
deconica inquilina,none,gills,"convex, conical","adnate, sinuate",cortina,purple-brown,saprotrophic,unknown,https://en.wikipedia.org/wiki/Deconica_inquilina
lactarius rubrilacteus,bleeding milkcap,gills,convex,decurrent,bare,cream,mycorrhizal,edible,https://en.wikipedia.org/wiki/Lactarius_rubrilacteus
conocybe apala,"conocybe lactea,conocybe albipes,white dunce cap,milky conecap",gills,conical,"adnexed, free",bare,"brown, reddish-brown",saprotrophic,unknown,https://en.wikipedia.org/wiki/Conocybe_apala
panaeolus foenisecii,"mower's mushroom,haymaker,haymaker's panaeolus,brown hay mushroom",gills,convex,adnexed,bare,blackish-brown,saprotrophic,inedible,https://en.wikipedia.org/wiki/Panaeolus_foenisecii
psilocybe caerulipes,blue-foot,gills,"convex, umbonate","adnate, sinuate",bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_caerulipes
armillaria luteobubalina,australian honey fungus,gills,"convex, flat",sinuate,ring,white,parasitic,edible,https://en.wikipedia.org/wiki/Armillaria_luteobubalina
omphalotus nidiformis,ghost fungus,gills,infundibuliform,decurrent,bare,white,"saprotrophic, parasitic",poisonous,https://en.wikipedia.org/wiki/Omphalotus_nidiformis
neolentinus lepideus,"lentinus lepideus,scaly sawgill,scaly lentinus,train wrecker",gills,"convex, flat","adnate, decurrent",ring,white,saprotrophic,edible,https://en.wikipedia.org/wiki/Neolentinus_lepideus
chondrostereum purpureum,silver leaf,smooth,none,none,none,white,"saprotrophic, parasitic",unknown,https://en.wikipedia.org/wiki/Chondrostereum_purpureum
gymnopus dryophilus,collybia dryophila,gills,convex,"adnexed, free",bare,"white, cream",saprotrophic,"not recommended, unknown",https://en.wikipedia.org/wiki/Gymnopus_dryophilus
amanita subjunquillea,east asian death cap,gills,convex,free,"ring,volva",white,mycorrhizal,deadly,https://en.wikipedia.org/wiki/Amanita_subjunquillea
heterobasidion annosum,annosus root rot,pores,offset,decurrent,bare,white,parasitic,inedible,https://en.wikipedia.org/wiki/Heterobasidion_annosum
amanita arocheae,latin american death cap,gills,convex,free,"ring,volva",white,mycorrhizal,deadly,https://en.wikipedia.org/wiki/Amanita_arocheae
echinodontium tinctorium,"indian paint fungus,toothed conk",teeth,none,none,none,white,parasitic,inedible,https://en.wikipedia.org/wiki/Echinodontium_tinctorium
oxyporus corticola,boring poria,pores,none,none,none,white,"saprotrophic, parasitic",inedible,https://en.wikipedia.org/wiki/Oxyporus_corticola
stereum hirsutum,"false turkey tail,hairy stereum,hairy curtain crust",smooth,offset,decurrent,none,white,"saprotrophic, parasitic",inedible,https://en.wikipedia.org/wiki/Stereum_hirsutum
gloeophyllum sepiarium,rusty gilled polypore,gills,none,none,none,white,saprotrophic,inedible,https://en.wikipedia.org/wiki/Gloeophyllum_sepiarium
aurantiporus fissilis,none,pores,none,decurrent,none,white,"parasitic, saprotrophic",inedible,https://en.wikipedia.org/wiki/Aurantiporus_fissilis
bjerkandera adusta,"smoky polypore,smoky bracket",pores,none,none,none,white,saprotrophic,inedible,https://en.wikipedia.org/wiki/Bjerkandera_adusta
hericium coralloides,"coral tooth fungus,comb coral mushroom",teeth,none,none,none,white,saprotrophic,edible,https://en.wikipedia.org/wiki/Hericium_coralloides
fuscoporia gilva,oak conk,pores,none,none,none,yellow,"parasitic, saprotrophic",unknown,https://en.wikipedia.org/wiki/Fuscoporia_gilva
porodaedalea pini,pine conk,pores,none,none,bare,brown,parasitic,inedible,https://en.wikipedia.org/wiki/Porodaedalea_pini
cerrena unicolor,mossy maze polypore,pores,offset,none,none,white,"saprotrophic, parasitic",inedible,https://en.wikipedia.org/wiki/Cerrena_unicolor
cryptoporus volvatus,"veiled polypore,cryptic globe fungus",pores,none,none,none,pink,"saprotrophic, parasitic",too hard to eat,https://en.wikipedia.org/wiki/Cryptoporus_volvatus
daedaleopsis confragosa,"thin walled maze polypore,blushing bracket",pores,none,decurrent,none,white,parasitic,inedible,https://en.wikipedia.org/wiki/Daedaleopsis_confragosa
trametes elegans,none,pores,offset,decurrent,none,white,saprotrophic,inedible,https://en.wikipedia.org/wiki/Trametes_elegans
phaeolus schweinitzii,"velvet-top fungus,dyer's polypore,dyer's mazegill,pine dye polypore",pores,offset,decurrent,bare,"white, yellow","saprotrophic, parasitic",inedible,https://en.wikipedia.org/wiki/Phaeolus_schweinitzii
pycnoporus sanguineus,none,pores,convex,decurrent,bare,white,"saprotrophic, parasitic",inedible,https://en.wikipedia.org/wiki/Pycnoporus_sanguineus
trichaptum abietinum,none,pores,flat,none,none,white,saprotrophic,inedible,https://en.wikipedia.org/wiki/Trichaptum_abietinum
trichaptum biforme,"violet-pored bracket fungus,purple tooth,violet-toothed polypore",teeth,flat,none,none,white,saprotrophic,inedible,https://en.wikipedia.org/wiki/Trichaptum_biforme
clitocybe nebularis,"lepista nebularis,clouded agaric,cloudy clitocybe,cloud funnel",gills,"convex, flat",decurrent,bare,cream,saprotrophic,edible,https://en.wikipedia.org/wiki/Clitocybe_nebularis
lactarius scrobiculatus,scrobiculate milk cap,gills,depressed,decurrent,bare,cream,mycorrhizal,inedible,https://en.wikipedia.org/wiki/Lactarius_scrobiculatus
tyromyces chioneus,white cheese polypore,pores,none,none,none,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Tyromyces_chioneus
ganoderma tsugae,hemlock varnish shelf,pores,flat,adnate,bare,brown,"saprotrophic, parasitic",unpalatable,https://en.wikipedia.org/wiki/Ganoderma_tsugae
inonotus hispidus,shaggy bracket,pores,none,none,none,brown,parasitic,inedible,https://en.wikipedia.org/wiki/Inonotus_hispidus
pleurotus dryinus,veiled oyster mushroom,gills,offset,decurrent,ring,white,"saprotrophic, parasitic",edible,https://en.wikipedia.org/wiki/Pleurotus_dryinus
amanita ovoidea,"european white egg,bearded amanita,european egg amidella",gills,"convex, flat",free,"ring,volva","white, cream",mycorrhizal,not recommended,https://en.wikipedia.org/wiki/Amanita_ovoidea
panaeolus papilionaceus var. parvisporus,none,gills,convex,adnexed,bare,black,saprotrophic,"edible, not recommended",https://en.wikipedia.org/wiki/Panaeolus_papilionaceus_var._parvisporus
panaeolus papilionaceus,petticoat mottlegill,gills,convex,adnexed,bare,black,saprotrophic,inedible,https://en.wikipedia.org/wiki/Panaeolus_papilionaceus
panaeolus semiovatus var. semiovatus,"panaeolus semiovatus,anellaria separata,shiny mottlegill,ringed panaeolus,common fungus of the feces variety,egghead mottlegill",gills,convex,adnexed,ring,black,saprotrophic,inedible,https://en.wikipedia.org/wiki/Panaeolus_semiovatus_var._semiovatus
panaeolus semiovatus var. phalaenarum,none,gills,convex,adnexed,ring,black,saprotrophic,edible,https://en.wikipedia.org/wiki/Panaeolus_semiovatus_var._phalaenarum
marasmius oreades,"fairy ring mushroom,fairy ring champignon,scotch bonnet",gills,"convex, umbonate",adnexed,bare,white,saprotrophic,choice,https://en.wikipedia.org/wiki/Marasmius_oreades
porphyrellus porphyrosporus,dusky bolete,pores,convex,adnate,bare,"purple, brown",mycorrhizal,inedible,https://en.wikipedia.org/wiki/Porphyrellus_porphyrosporus
inocybe tricolor,none,gills,"flat, umbonate",adnate,bare,"tan, yellow",mycorrhizal,psychoactive,https://en.wikipedia.org/wiki/Inocybe_tricolor
pluteus leoninus,lion shield,gills,convex,free,bare,salmon,saprotrophic,edible,https://en.wikipedia.org/wiki/Pluteus_leoninus
baorangia bicolor,"two-colored bolete,red and yellow bolete",pores,convex,adnate,bare,olive,mycorrhizal,"edible, not recommended",https://en.wikipedia.org/wiki/Baorangia_bicolor
hydnellum peckii,none,teeth,"depressed, convex",none,none,brown,mycorrhizal,inedible,https://en.wikipedia.org/wiki/Hydnellum_peckii
cortinarius flexipes,pelargonium webcap,gills,umbonate,adnate,cortina,reddish-brown,mycorrhizal,inedible,https://en.wikipedia.org/wiki/Cortinarius_flexipes
gymnopilus aeruginosus,magic blue gym,gills,convex,"adnexed, adnate",ring,yellow-orange,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Gymnopilus_aeruginosus
gymnopilus purpuratus,none,gills,"convex, umbonate","adnate, adnexed",bare,yellow-orange,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Gymnopilus_purpuratus
psilocybe atlantis,none,gills,"conical, convex",adnate,bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_atlantis
psilocybe zapotecorum,none,gills,"conical, convex","adnate, sinuate",bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_zapotecorum
psilocybe aucklandiae,none,gills,"conical, umbonate",adnate,bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_aucklandiae
apioperdon,"pear-shaped puffball,stump puffball,lycoperdon pyriforme",glebal,none,none,none,"white, olive-brown",saprotrophic,"edible, inedible",https://en.wikipedia.org/wiki/Apioperdon
psilocybe subaeruginosa,none,gills,"conical, umbonate","adnate, adnexed",bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_subaeruginosa
psilocybe subaeruginascens,none,gills,"conical, convex","adnate, adnexed",bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_subaeruginascens
inocybe corydalina var. corydalina,greenflush fibrecap,gills,"conical, convex",adnate,bare,brown,mycorrhizal,psychoactive,https://en.wikipedia.org/wiki/Inocybe_corydalina_var._corydalina
psilocybe strictipes,none,gills,"conical, campanulate","adnate, subdecurrent",bare,"brown, purple",saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_strictipes
paragyromitra infula,"hooded false morel,elfin saddle",smooth,convex,none,bare,"yellow, buff","saprotrophic, mycorrhizal","deadly, choice",https://en.wikipedia.org/wiki/Paragyromitra_infula
gymnopilus sapineus,"scaly rustgill,common and boring gymnopilus",gills,convex,adnate,ring,reddish-brown,saprotrophic,inedible,https://en.wikipedia.org/wiki/Gymnopilus_sapineus
wolfiporia extensa,"poria cocos,hoelen,poria,tuckahoe,china root,fu ling,matsuhodo,tuckahoe,fu-ling",pores,none,none,none,white,"saprotrophic, parasitic","inedible, edible",https://en.wikipedia.org/wiki/Wolfiporia_extensa
lepiota brunneoincarnata,deadly dapperling,gills,campanulate,free,bare,white,mycorrhizal,"poisonous, deadly",https://en.wikipedia.org/wiki/Lepiota_brunneoincarnata
clitocybe rivulosa,"false champignon,fool's funnel,sweating mushroom",gills,depressed,"adnate, decurrent",bare,white,saprotrophic,"poisonous, deadly",https://en.wikipedia.org/wiki/Clitocybe_rivulosa
cortinarius caperatus,none,gills,"convex, umbonate",adnate,ring,"ochre, brown",mycorrhizal,choice,https://en.wikipedia.org/wiki/Cortinarius_caperatus
roridomyces roridus,"dripping bonnet,slippery mycena",gills,conical,adnate,bare,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Roridomyces_roridus
mycena galopus,"milky mycena,milking bonnet,milk-drop mycena",gills,conical,adnate,bare,white,saprotrophic,inedible,https://en.wikipedia.org/wiki/Mycena_galopus
mycena cyanorrhiza,none,gills,conical,adnate,bare,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Mycena_cyanorrhiza
xerocomellus chrysenteron,"boletus chrysenteron,xerocomus chrysenteron,red cracking bolete",pores,"convex, flat",none,bare,olive-brown,mycorrhizal,edible,https://en.wikipedia.org/wiki/Xerocomellus_chrysenteron
lactarius uvidus,purple staining milk cap,gills,"flat, depressed",subdecurrent,bare,white,mycorrhizal,"unknown, poisonous",https://en.wikipedia.org/wiki/Lactarius_uvidus
agaricus bernardii,"salt-loving agaricus,salty mushroom",gills,"flat, convex",free,ring,brown,saprotrophic,choice,https://en.wikipedia.org/wiki/Agaricus_bernardii
agaricus silvicola,"wood mushroom,woodland agaricus",gills,"convex, flat",free,ring,brown,saprotrophic,"edible, allergic",https://en.wikipedia.org/wiki/Agaricus_silvicola
turbinellus floccosus,"scaly vase,shaggy,scaly,woolly chanterelle,gomphus floccosus",ridges,infundibuliform,decurrent,bare,brown,mycorrhizal,not recommended,https://en.wikipedia.org/wiki/Turbinellus_floccosus
clitopilus prunulus (the miller),"clitopilus prunulus,the miller,sweetbread mushroom",gills,convex,decurrent,bare,pink,saprotrophic,"choice, not recommended",https://en.wikipedia.org/wiki/Clitopilus_prunulus
entoloma rhodopolium,wood pinkgill,gills,convex,adnate,bare,pink,mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Entoloma_rhodopolium
suillellus luridus,"boletus luridus,lurid bolete",pores,convex,adnate,bare,olive-brown,mycorrhizal,"edible, not recommended",https://en.wikipedia.org/wiki/Suillellus_luridus
amanita smithiana,smith's amanita,gills,"convex, flat",free,"ring,volva",white,mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Amanita_smithiana
ramaria formosa,"pinkish coral mushroom,salmon coral,beautiful clavaria,handsome clavaria,yellow-tipped-,pink coral fungus",smooth,none,none,bare,yellow,mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Ramaria_formosa
rubroboletus eastwoodiae,satan's bolete,pores,convex,adnate,bare,olive-brown,mycorrhizal,unknown,https://en.wikipedia.org/wiki/Rubroboletus_eastwoodiae
lactarius helvus,fenugreek milkcap,gills,depressed,decurrent,bare,tan,mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Lactarius_helvus
russula subnigricans,"rank russula,nise-kurohatsu",gills,convex,free,bare,white,mycorrhizal,"poisonous, deadly",https://en.wikipedia.org/wiki/Russula_subnigricans
scleroderma areolatum,none,glebal,none,none,none,"purple-black, olive",mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Scleroderma_areolatum
mycena leaiana,"orange mycena,lea's mycena",gills,conical,adnexed,bare,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Mycena_leaiana
gyromitra caroliniana,"carolina false morel,big red",smooth,convex,none,bare,yellow,saprotrophic,not recommended,https://en.wikipedia.org/wiki/Gyromitra_caroliniana
boletus barrowsii,white king bolete,pores,convex,adnate,bare,olive,mycorrhizal,choice,https://en.wikipedia.org/wiki/Boletus_barrowsii
meripilus giganteus,"giant polypore,black-staining polypore",pores,offset,decurrent,none,white,saprotrophic,edible,https://en.wikipedia.org/wiki/Meripilus_giganteus
mycetinis alliaceus,"marasmius alliaceus,garlic parachute",gills,convex,adnate,bare,white,saprotrophic,edible,https://en.wikipedia.org/wiki/Mycetinis_alliaceus
porpolomopsis lewelliniae,mauve splitting wax-cap,gills,umbonate,adnexed,bare,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Porpolomopsis_lewelliniae
hygrocybe aurantipes,none,gills,conical,adnate,bare,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Hygrocybe_aurantipes
psilocybe guilartensis,none,gills,"conical, convex",adnexed,bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_guilartensis
melanoleuca,none,gills,"convex, depressed","adnate, adnexed",bare,"white, cream",saprotrophic,"edible, unknown",https://en.wikipedia.org/wiki/Melanoleuca
entoloma hochstetteri,"blue pinkgill,sky-blue mushroom",gills,convex,adnate,bare,pink,saprotrophic,unknown,https://en.wikipedia.org/wiki/Entoloma_hochstetteri
sarcodon imbricatus,"shingled hedgehog,scaly hedgehog",teeth,flat,adnate,bare,brown,mycorrhizal,"edible, not recommended",https://en.wikipedia.org/wiki/Sarcodon_imbricatus
leotia atrovirens,none,smooth,convex,none,bare,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leotia_atrovirens
leotia viscosa,"chicken lips,jelly baby,green jelly drops",smooth,convex,none,bare,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leotia_viscosa
helvella lacunosa,"slate grey saddle,fluted black elfin saddle,elfin saddle",smooth,convex,none,bare,white,"saprotrophic, mycorrhizal",not recommended,https://en.wikipedia.org/wiki/Helvella_lacunosa
caloboletus radicans,"rooting bolete,whitish bolete",pores,convex,adnexed,bare,olive-brown,mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Caloboletus_radicans
russula claroflava,"yellow russula,yellow swamp russula,yellow swamp brittlegill",gills,convex,free,bare,ochre,mycorrhizal,choice,https://en.wikipedia.org/wiki/Russula_claroflava
hygrocybe coccinea,"scarlet hood,scarlet waxcap,righteous red waxy cap",gills,convex,adnate,bare,white,mycorrhizal,"edible, not recommended",https://en.wikipedia.org/wiki/Hygrocybe_coccinea
rubroboletus legaliae,none,pores,convex,adnate,bare,olive-brown,mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Rubroboletus_legaliae
amanita excelsa var. spissa,grey spotted amanita,gills,"convex, flat",free,"ring,volva",white,mycorrhizal,not recommended,https://en.wikipedia.org/wiki/Amanita_excelsa_var._spissa
gymnopilus liquiritiae,none,gills,convex,"adnexed, adnate",bare,yellow-orange,saprotrophic,inedible,https://en.wikipedia.org/wiki/Gymnopilus_liquiritiae
psilocybe galindoi,none,gills,"conical, campanulate",adnate,bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_galindoi
psilocybe fimetaria,none,gills,"convex, umbonate","adnexed, free",cortina,"blackish-brown, purple",saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_fimetaria
psilocybe graveolens,none,gills,"convex, umbonate",adnexed,bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_graveolens
amanita echinocephala,"a. solitaria,solitary amanita,european solitary lepidella",gills,"convex, flat",free,ring,white,mycorrhizal,not recommended,https://en.wikipedia.org/wiki/Amanita_echinocephala
echinoderma asperum,"lepiota aspera,freckled dapperling",gills,"ovate, campanulate",free,ring,white,mycorrhizal,not recommended,https://en.wikipedia.org/wiki/Echinoderma_asperum
russula brevipes,"short-stemmed russula,stubby brittlegill",gills,"flat, infundibuliform",decurrent,bare,white,mycorrhizal,edible,https://en.wikipedia.org/wiki/Russula_brevipes
russula aeruginea,"grass-green russula,tacky green russula,green russula",gills,"convex, depressed","adnexed, adnate",bare,white,mycorrhizal,edible,https://en.wikipedia.org/wiki/Russula_aeruginea
russula aurea,gilded brittlegill,gills,"convex, depressed","free, adnexed",bare,"white, cream",mycorrhizal,edible,https://en.wikipedia.org/wiki/Russula_aurea
hygrocybe austropratensis,none,gills,convex,decurrent,bare,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Hygrocybe_austropratensis
calocybe carnea,"pink fairhead,pink domecap",gills,"convex, flat","adnexed, sinuate",bare,white,saprotrophic,"edible, not recommended",https://en.wikipedia.org/wiki/Calocybe_carnea
lactarius pyrogalus,fire-milk lactarius,gills,flat,decurrent,bare,ochre,mycorrhizal,inedible,https://en.wikipedia.org/wiki/Lactarius_pyrogalus
gyrodon lividus,alder bolete,pores,flat,decurrent,bare,"olive, brown",mycorrhizal,edible,https://en.wikipedia.org/wiki/Gyrodon_lividus
panaeolina castaneifolia,none,gills,"campanulate, convex","adnexed, adnate",bare,blackish-brown,saprotrophic,unknown,https://en.wikipedia.org/wiki/Panaeolina_castaneifolia
cortinarius semisanguineus,"surprise webcap,red-gilled webcap",gills,"campanulate, umbonate","adnate, sinuate",cortina,reddish-brown,mycorrhizal,inedible,https://en.wikipedia.org/wiki/Cortinarius_semisanguineus
gomphidius roseus,"rosy spike-cap,pink gomphidius",gills,"flat, convex",decurrent,ring,blackish-brown,parasitic,edible,https://en.wikipedia.org/wiki/Gomphidius_roseus
lactarius subdulcis,"mild milkcap,beech milk cap",gills,convex,adnate,bare,cream,mycorrhizal,edible,https://en.wikipedia.org/wiki/Lactarius_subdulcis
cystoderma amianthinum,"saffron parasol,saffron powder-cap,earthy powder-cap",gills,"convex, umbonate",adnexed,ring,white,saprotrophic,not recommended,https://en.wikipedia.org/wiki/Cystoderma_amianthinum
russula atropurpurea,"blackish purple russula,purple brittlegill",gills,"convex, flat",adnexed,bare,white,mycorrhizal,edible,https://en.wikipedia.org/wiki/Russula_atropurpurea
lactifluus piperatus,"lactarius piperatus,blancaccio",gills,convex,decurrent,bare,white,mycorrhizal,"edible, not recommended",https://en.wikipedia.org/wiki/Lactifluus_piperatus
lactarius blennius,"slimy milkcap,beech milkcap",gills,convex,"decurrent, adnate",bare,cream,mycorrhizal,inedible,https://en.wikipedia.org/wiki/Lactarius_blennius
boletus pinophilus,"pine bolete,pinewood king bolete",pores,convex,adnexed,bare,olive-brown,mycorrhizal,choice,https://en.wikipedia.org/wiki/Boletus_pinophilus
gomphidius glutinosus,"slimy spike-cap,hideous gomphidius,glutinous gomphidius",gills,"flat, convex",decurrent,ring,blackish-brown,mycorrhizal,edible,https://en.wikipedia.org/wiki/Gomphidius_glutinosus
hydnellum suaveolens,fragrant hydnellum mushroom,teeth,flat,decurrent,bare,brown,mycorrhizal,unknown,https://en.wikipedia.org/wiki/Hydnellum_suaveolens
hydnellum caeruleum,"blue-gray hydnellum,blue-green hydnellum,blue spine,blue tooth,bluish tooth",teeth,flat,decurrent,bare,brown,mycorrhizal,inedible,https://en.wikipedia.org/wiki/Hydnellum_caeruleum
inocybe geophylla,"earthy inocybe,common white inocybe,white fibercap",gills,"umbonate, conical",adnexed,bare,brown,mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Inocybe_geophylla
clathrus archeri,"octopus stinkhorn,devil's fingers",glebal,none,none,none,olive-brown,saprotrophic,unknown,https://en.wikipedia.org/wiki/Clathrus_archeri
leucopaxillus gentianeus,"bitter false funnelcap,bitter brown leucopaxillus",gills,"convex, flat",adnate,bare,white,mycorrhizal,inedible,https://en.wikipedia.org/wiki/Leucopaxillus_gentianeus
craterellus tubaeformis,"winter chanterelle,yellowfoot,winter mushroom,funnel chanterelle",ridges,infundibuliform,decurrent,bare,"cream, salmon",mycorrhizal,choice,https://en.wikipedia.org/wiki/Craterellus_tubaeformis
craterellus lutescens,"cantharellus lutescens,cantharellus xanthopus,cantharellus aurora,yellow foot,camagroc",ridges,infundibuliform,decurrent,bare,"cream, salmon",mycorrhizal,edible,https://en.wikipedia.org/wiki/Craterellus_lutescens
psilocybe liniformans var. americana,none,gills,convex,adnexed,bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_liniformans_var._americana
xerula megalospora,none,gills,"convex, umbonate",adnexed,bare,white,saprotrophic,edible,https://en.wikipedia.org/wiki/Xerula_megalospora
psilocybe caerulescens,landslide mushroom,gills,convex,"adnate, sinuate",bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_caerulescens
alloclavaria purpurea,"purple coral,purple fairy club",smooth,none,none,bare,white,saprotrophic,edible,https://en.wikipedia.org/wiki/Alloclavaria_purpurea
leucoagaricus leucothites,"smooth parasol,woman on motorcycle,ma'am on motorcycle,white dapperling,white agaricus mushroom",gills,"convex, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucoagaricus_leucothites
trametes gibbosa,lumpy bracket,pores,offset,decurrent,none,"white, cream",saprotrophic,inedible,https://en.wikipedia.org/wiki/Trametes_gibbosa
lentinellus cochleatus,aniseed cockleshell,gills,infundibuliform,decurrent,bare,white,saprotrophic,inedible,https://en.wikipedia.org/wiki/Lentinellus_cochleatus
psilocybe mescaleroensis,none,gills,"conical, convex","adnate, adnexed",bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_mescaleroensis
psilocybe meridionalis,none,gills,"conical, convex","adnate, adnexed",bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_meridionalis
stropharia ambigua,questionable stropharia,gills,convex,adnate,ring,purple-brown,saprotrophic,unknown,https://en.wikipedia.org/wiki/Stropharia_ambigua
cortinarius collinitus,belted slimy cortinarius,gills,"convex, flat",adnexed,cortina,reddish-brown,mycorrhizal,inedible,https://en.wikipedia.org/wiki/Cortinarius_collinitus
deconica montana,mountain moss psilocybe,gills,convex,adnate,bare,purple-brown,saprotrophic,inedible,https://en.wikipedia.org/wiki/Deconica_montana
albatrellus subrubescens,none,pores,"convex, flat",decurrent,bare,white,mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Albatrellus_subrubescens
psilocybe stuntzii,"stuntz's blue legs,blue ringers",gills,"convex, umbonate","adnate, sinuate",ring,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_stuntzii
psilocybe cyanofibrillosa,"rhododendron psilocybe,blue-haired psilocybe",gills,"convex, conical","adnate, sinuate",bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_cyanofibrillosa
gymnopilus luteus,yellow gymnopilus,gills,convex,"adnexed, adnate",ring,yellow-orange,saprotrophic,"inedible, psychoactive",https://en.wikipedia.org/wiki/Gymnopilus_luteus
gymnopilus validipes,none,gills,convex,"adnexed, adnate",ring,yellow-orange,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Gymnopilus_validipes
psilocybe samuiensis,none,gills,"conical, umbonate",adnate,bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_samuiensis
agaricus abruptibulbus,"abruptly-bulbous agaricus,flat-bulb mushroom",gills,"convex, flat",free,ring,brown,saprotrophic,edible,https://en.wikipedia.org/wiki/Agaricus_abruptibulbus
podaxis pistillaris,desert shaggy mane,gills,conical,seceding,ring,"buff, reddish-brown",saprotrophic,edible,https://en.wikipedia.org/wiki/Podaxis_pistillaris
agaricus pocillator,none,gills,"convex, flat",free,ring,brown,saprotrophic,inedible,https://en.wikipedia.org/wiki/Agaricus_pocillator
gymnopilus luteoviridis,none,gills,convex,"adnexed, adnate",ring,yellow-orange,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Gymnopilus_luteoviridis
agaricus pattersoniae,none,gills,"convex, flat",free,ring,brown,saprotrophic,edible,https://en.wikipedia.org/wiki/Agaricus_pattersoniae
