scientific name,common names,hymenium type,cap shape,gill type,stipe type,spore color,ecological type,edible,URL
crepidotus variabilis,variable oysterling,gills,convex,free,none,"buff, pink",saprotrophic,unknown,https://en.wikipedia.org/wiki/Crepidotus_variabilis
crepidotus epibryus,grass oysterling,gills,convex,free,none,buff,saprotrophic,inedible,https://en.wikipedia.org/wiki/Crepidotus_epibryus
crepidotus cinnabarinus,none,gills,convex,adnexed,none,buff,saprotrophic,inedible,https://en.wikipedia.org/wiki/Crepidotus_cinnabarinus
micropsalliota albofelina,none,gills,convex,free,bare,brown,saprotrophic,not recommended,https://en.wikipedia.org/wiki/Micropsalliota_albofelina
leucoagaricus badhamii,blushing dapperling,gills,"ovate, flat",free,ring,white,saprotrophic,"unknown, poisonous",https://en.wikipedia.org/wiki/Leucoagaricus_badhamii
leucocoprinus ianthinus,none,gills,"campanulate, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_ianthinus
leucocoprinus straminellus,none,gills,"campanulate, ovate",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_straminellus
leucocoprinus flavescens,none,gills,"campanulate, umbonate",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_flavescens
leucocoprinus brunneoluteus,none,gills,"convex, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_brunneoluteus
leucoagaricus barssii,"smoky dapperling,gray parasol",gills,"convex, depressed",free,ring,"white, cream",saprotrophic,edible,https://en.wikipedia.org/wiki/Leucoagaricus_barssii
leucoagaricus meleagris,none,gills,"campanulate, convex",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucoagaricus_meleagris
leucoagaricus nympharum,none,gills,"convex, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucoagaricus_nympharum
amanita groenlandica,none,gills,"convex, umbonate",free,volva,white,mycorrhizal,unknown,https://en.wikipedia.org/wiki/Amanita_groenlandica
britzelmayria multipedata,clustered brittlestem,gills,"conical, convex","adnate, adnexed",bare,purple-brown,saprotrophic,unknown,https://en.wikipedia.org/wiki/Britzelmayria_multipedata
cystoagaricus strobilomyces,none,gills,"convex, campanulate","adnate, adnexed",bare,brown,saprotrophic,unknown,https://en.wikipedia.org/wiki/Cystoagaricus_strobilomyces
coprinopsis martinii,none,gills,"convex, campanulate",free,bare,black,saprotrophic,unknown,https://en.wikipedia.org/wiki/Coprinopsis_martinii
coprinopsis nivea,snowy inkcap,gills,campanulate,adnate,bare,black,saprotrophic,unknown,https://en.wikipedia.org/wiki/Coprinopsis_nivea
leucocoprinus griseofloccosus,none,gills,convex,free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_griseofloccosus
leucocoprinus cygneus,none,gills,campanulate,free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_cygneus
leucocoprinus magnicystidiosus,none,gills,"campanulate, conical",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_magnicystidiosus
leucocoprinus longistriatus,none,gills,"convex, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_longistriatus
leucocoprinus breviramus,none,gills,"conical, campanulate",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_breviramus
leucocoprinus tricolor,none,gills,"ovate, campanulate",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_tricolor
leucocoprinus medioflavus,none,gills,"depressed, umbonate",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_medioflavus
leucocoprinus brunnescens,none,gills,"convex, umbonate",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_brunnescens
leucocoprinus castroi,none,gills,"conical, campanulate",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_castroi
leucocoprinus biornatus,none,gills,"campanulate, convex",free,ring,"white, cream",saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_biornatus
leucocoprinus acutoumbonatus,none,gills,"convex, campanulate",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_acutoumbonatus
leucocoprinus holospilotus,none,gills,"campanulate, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_holospilotus
leucocoprinus delicatulus,none,gills,"convex, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_delicatulus
leucocoprinus munnarensis,none,gills,"convex, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_munnarensis
leucocoprinus pusillus,none,gills,convex,free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_pusillus
leucocoprinus bakeri,none,gills,convex,free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_bakeri
leucocoprinus beelianus,none,gills,"campanulate, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_beelianus
leucocoprinus muticolor,none,gills,"convex, campanulate",free,ring,"white, cream",saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_muticolor
leucocoprinus discoideus,"batakania,bepokua pembe",gills,"campanulate, conical",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_discoideus
leucocoprinus elaeidis,elela,gills,"campanulate, umbonate",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_elaeidis
leucocoprinus citrinellus,none,gills,"umbonate, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_citrinellus
leucocoprinus austrofragilis,none,gills,convex,free,ring,"white, cream",saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_austrofragilis
leucocoprinus heinemannii,none,gills,"campanulate, convex",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_heinemannii
leucocoprinus violaceus,none,gills,"campanulate, conical",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_violaceus
leucocoprinus velutipes,none,gills,"campanulate, convex",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_velutipes
leucocoprinus submontagnei,none,gills,"campanulate, convex",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_submontagnei
